Malcolm	Bruce	Gordon	£18,492	£0	£18,234	£65,596	£23,544	£2,170	£443	£1,970	£5,381
Chris	Bryant	Rhondda	£19,722	£0	£18,234	£67,975	£12,589	£1,135	£1,125	£1,907	£0
Karen	Buck	Regent's Park & Kensington North	£0	£1,527	£18,226	£72,310	£906	£0	£2,328	£1,822	£0
Richard	Burden	Birmingham, Northfield	£19,722	£0	£18,008	£65,387	£8,510	£1,114	£1,156	£1,973	£275
Colin	Burgon	Elmet	£19,720	£0	£18,229	£63,055	£17,404	£1,668	£1,564	£1,877	£0
John	Burnett	Torridge & West Devon	£19,722	£0	£18,234	£65,596	£22,989	£1,592	£1,029	£2,022	£0
Andy	Burnham	Leigh	£19,722	£0	£17,420	£58,614	£9,020	£0	£1,178	£1,938	£0
Simon	Burns	West Chelmsford	£19,722	£0	£18,234	£69,212	£7,227	£75	£1,296	£1,875	£0
David	Burnside	South Antrim	£19,395	£0	£17,840	£65,178	£22,975	£3,470	£2,133	£1,943	£0
Paul	Burstow	Sutton & Cheam	£0	£1,527	£18,234	£72,291	£3,782	£78	£1,879	£1,878	£0
Alistair	Burt	North East Bedfordshire	£15,750	£0	£17,782	£64,772	£9,364	£288	£935	£1,842	£0
John	Butterfill	Bournemouth West	£18,078	£0	£18,199	£65,139	£8,589	£0	£624	£1,713	£0
Stephen	Byers	North Tyneside	£19,722	£242	£16,231	£50,459	£14,045	£1,321	£863	£1,864	£0
Vincent	Cable	Twickenham	£0	£0	£18,234	£72,260	£3,256	£0	£3,966	£2,010	£0
Richard	Caborn	Sheffield Central	£19,720	£1,527	£15,717	£65,257	£13,283	£455	£677	£1,094	£0
David	Cairns	Greenock & Inverclyde	£19,290	£0	£18,222	£65,068	£18,356	£0	£1,341	£1,968	£0
Patsy	Calton	Cheadle	£18,975	£0	£18,198	£65,596	£10,511	£1,546	£1,223	£1,850	£0
David	Cameron	Witney	£19,722	£0	£17,482	£67,696	£5,141	£0	£620	£1,907	£0
Alan	Campbell	Tynemouth	£19,477	£0	£18,234	£58,362	£16,774	£2,693	£854	£1,943	£0
