														MP Travel: regular journeys between home/constituency/Westminster				MP Travel: Other				MP Spouse Travel		MP Family Travel		MP Employee Travel	
Member		TOTAL ALLOWANCES CLAIMED, INC TRAVEL	TOTAL BASIC ALLOWANCES, EXC TRAVEL	TOTAL TRAVEL CLAIMED	Cost of staying away from main home	London supplement	Office running costs	Staffing costs	Centrally purchased stationery	Stationery associated postage costs	Central IT provision	Staff cover and other costs	Comms allowance	Mileage	MP Rail	MP Air	MP Misc (see notes)	MP other Mileage	MP other Rail	MP other Air	MP other European	Spouse Total	No. of Journeys	Family Total	No. of Journeys	Employee Total	No. of Journeys
Battle	Rt Hon John	£156,214.00	£141,484.00	£14,730.00	£18,819.00	£0.00	£20,622.00	£90,505.00	£905.00	£2,071.00	£1,199.00	£0.00	£7,363.00	£2,864.00	£7,865.00	£166.00	£0.00	£0.00	£0.00	£0.00	£0.00	£610.00	6	£0.00	0	£3,225.00	24
Chaytor	Mr David	£156,209.00	£144,074.00	£12,135.00	£21,584.00	£0.00	£21,754.00	£90,089.00	£353.00	£279.00	£1,049.00	£0.00	£8,966.00	£3,330.00	£6,006.00	£375.00	£925.00	£0.00	£0.00	£0.00	£501.00	£481.00	3	£0.00	0	£517.00	10
Wyatt	Derek	£156,157.00	£152,164.00	£3,993.00	£23,083.00	£0.00	£18,662.00	£91,575.00	£1,520.00	£5,444.00	£1,151.00	£0.00	£10,729.00	£2,909.00	£332.00	£0.00	£0.00	£0.00	£0.00	£0.00	£671.00	£0.00	0	£0.00	0	£81.00	10
Mercer	Patrick	£156,067.00	£140,988.00	£15,079.00	£23,083.00	£0.00	£12,856.00	£98,969.00	£280.00	£1,601.00	£1,261.00	£0.00	£2,938.00	£5,423.00	£7,067.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	£1,880.00	22	£709.00	11	£0.00	0
Cummings	John	£156,044.00	£136,316.00	£19,728.00	£22,075.00	£0.00	£12,294.00	£99,549.00	£227.00	£988.00	£1,183.00	£0.00	£0.00	£6,644.00	£10,812.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	0	£0.00	0	£2,272.00	20
Knight	Rt Hon Jim	£155,987.00	£150,379.00	£5,608.00	£23,083.00	£0.00	£15,947.00	£94,135.00	£2,281.00	£4,033.00	£1,154.00	£0.00	£9,746.00	£939.00	£4,030.00	£0.00	£24.00	£0.00	£0.00	£0.00	£0.00	£275.00	6	£117.00	4	£223.00	10
Merron	Gillian	£155,972.00	£148,611.00	£7,361.00	£22,641.00	£0.00	£13,140.00	£97,565.00	£1,527.00	£4,461.00	£1,167.00	£0.00	£8,110.00	£1,803.00	£4,495.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	0	£0.00	0	£1,063.00	22
Clarke	Rt Hon Tom	£155,970.00	£140,165.00	£15,805.00	£16,264.00	£0.00	£11,684.00	£99,782.00	£613.00	£1,422.00	£1,162.00	£0.00	£9,238.00	£2,158.00	£1,852.00	£10,766.00	£129.00	£0.00	£0.00	£0.00	£0.00	£0.00	0	£0.00	0	£900.00	6
Mitchell	Mr Austin	£155,956.00	£139,178.00	£16,778.00	£23,073.00	£0.00	£15,452.00	£90,218.00	£890.00	£2,722.00	£1,261.00	£0.00	£5,562.00	£6,890.00	£6,032.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	£3,222.00	41	£0.00	0	£634.00	8
Oaten	Mr Mark	£155,911.00	£146,826.00	£9,085.00	£22,993.00	£0.00	£24,738.00	£85,778.00	£772.00	£1,607.00	£1,332.00	£0.00	£9,606.00	£3,563.00	£2,892.00	£0.00	£0.00	£0.00	£0.00	£0.00	£766.00	£926.00	30	£305.00	8	£633.00	14
Kilfoyle	Mr Peter	£155,856.00	£141,402.00	£14,454.00	£23,083.00	£0.00	£14,096.00	£97,565.00	£431.00	£850.00	£1,347.00	£0.00	£4,030.00	£4,310.00	£7,898.00	£0.00	£0.00	£0.00	£0.00	£0.00	£507.00	£769.00	5	£0.00	0	£970.00	9
McCartney	Rt Hon Ian	£155,746.00	£140,940.00	£14,806.00	£23,083.00	£0.00	£17,651.00	£94,193.00	£858.00	£3,442.00	£1,109.00	£0.00	£604.00	£492.00	£11,660.00	£184.00	£0.00	£0.00	£0.00	£0.00	£0.00	£1,404.00	22	£0.00	0	£1,066.00	10
Maclean	Rt Hon David	£155,609.00	£138,102.00	£17,507.00	£22,638.00	£0.00	£25,542.00	£77,643.00	£649.00	£1,530.00	£1,803.00	£0.00	£8,297.00	£3,922.00	£12,042.00	£0.00	£261.00	£0.00	£252.00	£0.00	£0.00	£0.00	0	£0.00	0	£1,030.00	10
Wiggin	Bill	£155,564.00	£148,026.00	£7,538.00	£23,083.00	£0.00	£11,667.00	£100,009.00	£858.00	£2,300.00	£1,360.00	£0.00	£8,749.00	£6,355.00	£244.00	£0.00	£0.00	£0.00	£254.00	£382.00	£0.00	£239.00	5	£64.00	2	£0.00	0
Balls	Rt Hon Ed	£155,526.00	£141,041.00	£14,485.00	£12,219.00	£0.00	£21,429.00	£90,414.00	£2,126.00	£4,470.00	£1,071.00	£0.00	£9,312.00	£4,277.00	£7,019.00	£0.00	£50.00	£0.00	£0.00	£0.00	£0.00	£0.00	0	£2,010.00	47	£1,129.00	17
Norris	Dan	£155,410.00	£145,625.00	£9,785.00	£21,078.00	£0.00	£18,789.00	£88,243.00	£4,373.00	£2,625.00	£1,316.00	£0.00	£9,201.00	£5,382.00	£3,144.00	£0.00	£11.00	£0.00	£0.00	£0.00	£0.00	£0.00	0	£0.00	0	£1,248.00	24
Ussher	Kitty	£155,388.00	£144,079.00	£11,309.00	£22,767.00	£0.00	£22,007.00	£84,202.00	£1,193.00	£3,119.00	£1,171.00	£0.00	£9,620.00	£1,560.00	£4,925.00	£170.00	£1,305.00	£0.00	£0.00	£0.00	£0.00	£3,057.00	28	£0.00	0	£292.00	7
Waterson	Mr Nigel	£155,232.00	£148,210.00	£7,022.00	£23,083.00	£0.00	£18,431.00	£90,985.00	£814.00	£2,299.00	£1,371.00	£0.00	£11,227.00	£3,880.00	£1,047.00	£0.00	£0.00	£0.00	£613.00	£289.00	£761.00	£292.00	26	£79.00	29	£61.00	2
Austin	Mr Ian	£155,163.00	£147,505.00	£7,658.00	£21,925.00	£0.00	£19,086.00	£88,703.00	£1,596.00	£5,400.00	£1,292.00	£0.00	£9,503.00	£1,515.00	£5,197.00	£0.00	£6.00	£0.00	£0.00	£0.00	£0.00	£563.00	9	£16.00	6	£361.00	7
Cohen	Harry	£155,026.00	£151,873.00	£3,153.00	£23,083.00	£0.00	£11,341.00	£100,494.00	£699.00	£3,109.00	£1,310.00	£2,810.00	£9,027.00	£2,380.00	£0.00	£0.00	£16.00	£560.00	£0.00	£0.00	£0.00	£132.00	30	£0.00	0	£65.00	18
Wright	David	£154,848.00	£147,323.00	£7,525.00	£22,573.00	£0.00	£13,678.00	£89,442.00	£871.00	£2,505.00	£1,268.00	£0.00	£16,986.00	£4,511.00	£262.00	£0.00	£19.00	£0.00	£0.00	£0.00	£0.00	£2,099.00	16	£0.00	0	£634.00	8
Barron	Rt Hon Kevin	£154,784.00	£144,252.00	£10,532.00	£23,083.00	£0.00	£12,160.00	£98,254.00	£377.00	£565.00	£1,089.00	£0.00	£8,724.00	£7,950.00	£1,627.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	£681.00	8	£0.00	0	£274.00	4
Starkey	Dr Phyllis	£154,767.00	£148,119.00	£6,648.00	£17,969.00	£0.00	£21,343.00	£90,500.00	£1,871.00	£4,164.00	£1,419.00	£858.00	£9,995.00	£1,410.00	£3,018.00	£0.00	£1,174.00	£0.00	£0.00	£0.00	£586.00	£371.00	11	£0.00	0	£89.00	11
Browning	Angela	£154,738.00	£146,966.00	£7,772.00	£22,873.00	£0.00	£11,498.00	£98,852.00	£728.00	£1,881.00	£1,452.00	£0.00	£9,682.00	£6,690.00	£24.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	£1,058.00	8	£0.00	0	£0.00	0
Wright	Mr Anthony	£154,625.00	£146,116.00	£8,509.00	£23,083.00	£0.00	£23,335.00	£84,937.00	£868.00	£1,238.00	£1,325.00	£0.00	£11,330.00	£4,544.00	£3,041.00	£0.00	£97.00	£20.00	£29.00	£358.00	£0.00	£0.00	0	£0.00	0	£420.00	12
Riordan	Mrs Linda	£154,568.00	£138,549.00	£16,019.00	£23,083.00	£0.00	£17,940.00	£88,823.00	£1,182.00	£2,921.00	£1,264.00	£0.00	£3,336.00	£2,904.00	£10,312.00	£0.00	£1,028.00	£0.00	£0.00	£0.00	£1,205.00	£0.00	0	£0.00	0	£570.00	4
Blackman	Liz	£154,567.00	£148,714.00	£5,853.00	£22,588.00	£0.00	£21,153.00	£89,239.00	£1,524.00	£5,023.00	£1,176.00	£1,622.00	£6,389.00	£5,118.00	£96.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	0	£0.00	0	£639.00	10
Foster	Mr Michael	£154,548.00	£147,540.00	£7,008.00	£22,847.00	£0.00	£16,921.00	£86,832.00	£1,057.00	£3,785.00	£1,429.00	£0.00	£14,669.00	£4,254.00	£2,715.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	0	£0.00	0	£39.00	2
Barrett	John	£154,441.00	£142,165.00	£12,276.00	£22,663.00	£0.00	£21,833.00	£81,275.00	£1,195.00	£1,992.00	£1,211.00	£2,016.00	£9,980.00	£0.00	£2,558.00	£8,408.00	£0.00	£0.00	£105.00	£0.00	£0.00	£719.00	6	£0.00	0	£486.00	9
Taylor	David	£154,277.00	£141,991.00	£12,286.00	£17,553.00	£0.00	£20,512.00	£89,002.00	£784.00	£3,209.00	£1,149.00	£0.00	£9,782.00	£4,754.00	£5,431.00	£0.00	£1,138.00	£0.00	£0.00	£0.00	£0.00	£686.00	18	£0.00	0	£277.00	6
Denham	Rt Hon John	£154,260.00	£147,039.00	£7,221.00	£23,083.00	£0.00	£17,574.00	£89,780.00	£1,185.00	£3,433.00	£1,417.00	£877.00	£9,690.00	£3,391.00	£2,734.00	£0.00	£3.00	£0.00	£0.00	£0.00	£1,093.00	£0.00	0	£0.00	0	£0.00	0
Lloyd	Tony	£154,170.00	£137,904.00	£16,266.00	£19,706.00	£0.00	£23,043.00	£88,060.00	£602.00	£1,509.00	£1,053.00	£0.00	£3,931.00	£890.00	£11,986.00	£938.00	£0.00	£0.00	£0.00	£0.00	£290.00	£0.00	0	£0.00	0	£2,162.00	18
Leigh	Mr Edward	£154,113.00	£143,126.00	£10,987.00	£22,840.00	£0.00	£16,314.00	£95,530.00	£224.00	£501.00	£1,447.00	£0.00	£6,270.00	£3,097.00	£3,873.00	£0.00	£0.00	£0.00	£0.00	£0.00	£1,188.00	£1,067.00	17	£1,639.00	37	£123.00	2
Stuart	Ms Gisela	£154,100.00	£145,281.00	£8,819.00	£18,245.00	£0.00	£25,779.00	£85,716.00	£1,192.00	£3,418.00	£1,335.00	£0.00	£9,596.00	£6,450.00	£942.00	£747.00	£0.00	£0.00	£0.00	£0.00	£319.00	£0.00	0	£0.00	0	£361.00	7
Dhanda	Mr Parmjit	£153,906.00	£146,404.00	£7,502.00	£20,805.00	£0.00	£12,319.00	£93,256.00	£2,405.00	£4,421.00	£1,325.00	£0.00	£11,873.00	£2,812.00	£4,621.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	0	£0.00	0	£69.00	4
Cook	Frank	£153,902.00	£135,225.00	£18,677.00	£23,083.00	£0.00	£16,791.00	£83,261.00	£360.00	£1,062.00	£1,296.00	£0.00	£9,372.00	£9,956.00	£7,244.00	£0.00	£0.00	£51.00	£116.00	£0.00	£0.00	£0.00	0	£0.00	0	£1,310.00	10
Gillan	Mrs Cheryl	£153,886.00	£145,182.00	£8,704.00	£23,057.00	£0.00	£19,956.00	£91,658.00	£815.00	£5,329.00	£1,217.00	£0.00	£3,150.00	£3,384.00	£81.00	£0.00	£0.00	£416.00	£4,305.00	£0.00	£0.00	£288.00	30	£0.00	0	£230.00	24
Simmonds	Mark	£153,873.00	£144,578.00	£9,295.00	£23,083.00	£0.00	£22,862.00	£88,744.00	£262.00	£1,109.00	£1,360.00	£0.00	£7,158.00	£4,021.00	£2,925.00	£0.00	£25.00	£155.00	£162.00	£0.00	£252.00	£1,169.00	30	£0.00	0	£586.00	13
Fraser	Christopher	£153,822.00	£142,682.00	£11,140.00	£23,022.00	£0.00	£14,217.00	£91,412.00	£586.00	£1,896.00	£1,090.00	£0.00	£10,459.00	£7,618.00	£497.00	£0.00	£226.00	£350.00	£70.00	£305.00	£84.00	£1,792.00	28	£0.00	0	£198.00	6
Hanson	Rt Hon David	£153,794.00	£138,489.00	£15,305.00	£23,048.00	£0.00	£12,250.00	£86,672.00	£1,270.00	£4,696.00	£1,115.00	£0.00	£9,438.00	£2,381.00	£9,386.00	£210.00	£195.00	£0.00	£0.00	£0.00	£0.00	£1,743.00	18	£971.00	13	£419.00	10
Eagle	Maria	£153,742.00	£143,205.00	£10,537.00	£17,124.00	£0.00	£12,047.00	£99,797.00	£982.00	£1,870.00	£1,480.00	£0.00	£9,905.00	£3,908.00	£3,679.00	£620.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	0	£0.00	0	£2,330.00	17
Streeter	Mr Gary	£153,644.00	£140,684.00	£12,960.00	£22,096.00	£0.00	£18,412.00	£92,786.00	£422.00	£1,495.00	£1,288.00	£0.00	£4,185.00	£1,612.00	£10,212.00	£0.00	£19.00	£0.00	£169.00	£208.00	£174.00	£0.00	0	£0.00	0	£566.00	5
Healey	Rt Hon John	£153,433.00	£137,331.00	£16,102.00	£18,674.00	£0.00	£24,894.00	£84,204.00	£1,099.00	£2,258.00	£1,376.00	£0.00	£4,826.00	£2,458.00	£10,886.00	£0.00	£0.00	£0.00	£9.00	£0.00	£0.00	£2,018.00	16	£264.00	5	£467.00	3
Carswell	Mr Douglas	£153,378.00	£147,084.00	£6,294.00	£23,083.00	£0.00	£21,290.00	£84,770.00	£570.00	£2,871.00	£1,296.00	£0.00	£13,204.00	£1,253.00	£4,456.00	£0.00	£0.00	£0.00	£0.00	£0.00	£493.00	£0.00	0	£0.00	0	£92.00	4
Yeo	Mr Tim	£153,358.00	£147,759.00	£5,599.00	£23,083.00	£0.00	£15,720.00	£96,123.00	£686.00	£1,680.00	£1,339.00	£0.00	£9,128.00	£5,047.00	£309.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	£147.00	5	£0.00	0	£96.00	4
Fox	Dr Liam	£153,316.00	£143,815.00	£9,501.00	£20,746.00	£0.00	£19,651.00	£91,346.00	£363.00	£1,028.00	£1,398.00	£0.00	£9,283.00	£5,119.00	£1,414.00	£0.00	£250.00	£0.00	£1,468.00	£218.00	£983.00	£49.00	2	£0.00	0	£0.00	0
Murphy	Mr Denis	£153,143.00	£136,714.00	£16,429.00	£20,881.00	£0.00	£19,336.00	£90,549.00	£327.00	£340.00	£776.00	£0.00	£4,505.00	£4,775.00	£9,153.00	£218.00	£157.00	£0.00	£0.00	£0.00	£0.00	£0.00	0	£0.00	0	£2,126.00	13
Wills	Rt Hon Michael	£153,138.00	£151,685.00	£1,453.00	£20,766.00	£0.00	£10,216.00	£100,554.00	£1,732.00	£5,254.00	£1,328.00	£2,429.00	£9,406.00	£580.00	£834.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	£39.00	0	£0.00	0	£0.00	0
Willetts	Mr David	£153,073.00	£145,019.00	£8,054.00	£22,899.00	£0.00	£20,601.00	£91,234.00	£639.00	£3,478.00	£1,054.00	£0.00	£5,114.00	£1,038.00	£1,833.00	£338.00	£0.00	£0.00	£1,664.00	£0.00	£2,934.00	£100.00	1	£147.00	6	£0.00	0
McCarthy	Kerry	£153,035.00	£148,175.00	£4,860.00	£21,266.00	£0.00	£17,395.00	£94,398.00	£949.00	£530.00	£1,322.00	£3,001.00	£9,314.00	£1,102.00	£3,461.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	0	£0.00	0	£297.00	8
O'Brien	Mr Stephen	£153,027.00	£137,609.00	£15,418.00	£23,034.00	£0.00	£23,426.00	£88,143.00	£351.00	£1,504.00	£1,151.00	£0.00	£0.00	£7,655.00	£4,320.00	£0.00	£460.00	£538.00	£564.00	£0.00	£0.00	£725.00	13	£100.00	3	£1,056.00	16
Sheridan	Jim	£152,989.00	£134,638.00	£18,351.00	£23,083.00	£0.00	£22,525.00	£84,209.00	£116.00	£630.00	£1,109.00	£0.00	£2,966.00	£2,794.00	£1,999.00	£10,991.00	£182.00	£0.00	£0.00	£0.00	£1,461.00	£214.00	2	£0.00	0	£710.00	6
Taylor	Mr Ian	£152,963.00	£148,626.00	£4,337.00	£23,083.00	£0.00	£7,972.00	£103,859.00	£635.00	£1,927.00	£1,156.00	£0.00	£9,994.00	£4,075.00	£45.00	£0.00	£0.00	£0.00	£217.00	£0.00	£0.00	£0.00	0	£0.00	0	£0.00	0
Mann	John	£152,933.00	£142,040.00	£10,893.00	£13,114.00	£0.00	£20,655.00	£89,935.00	£1,767.00	£5,205.00	£1,439.00	£0.00	£9,925.00	£2,222.00	£6,288.00	£0.00	£66.00	£392.00	£42.00	£0.00	£876.00	£327.00	10	£44.00	4	£636.00	16
Bailey	Mr Adrian	£152,897.00	£146,501.00	£6,396.00	£22,862.00	£0.00	£16,277.00	£95,548.00	£540.00	£1,456.00	£1,125.00	£2,075.00	£6,618.00	£1,895.00	£3,638.00	£0.00	£27.00	£0.00	£0.00	£0.00	£0.00	£308.00	5	£0.00	0	£528.00	24
Horwood	Mr Martin	£152,892.00	£146,098.00	£6,794.00	£21,449.00	£0.00	£19,753.00	£92,048.00	£564.00	£1,439.00	£1,008.00	£0.00	£9,837.00	£0.00	£6,133.00	£0.00	£90.00	£0.00	£0.00	£0.00	£0.00	£57.00	6	£0.00	0	£514.00	12
Miller	Mrs Maria	£152,888.00	£144,482.00	£8,406.00	£23,000.00	£0.00	£19,551.00	£90,601.00	£916.00	£2,740.00	£1,228.00	£0.00	£6,446.00	£5,142.00	£333.00	£0.00	£45.00	£0.00	£0.00	£0.00	£410.00	£241.00	18	£2,016.00	90	£219.00	20
MacShane	Rt Hon Denis	£152,884.00	£136,518.00	£16,366.00	£23,083.00	£0.00	£18,438.00	£81,529.00	£825.00	£1,504.00	£1,459.00	£0.00	£9,680.00	£6,132.00	£5,566.00	£0.00	£0.00	£0.00	£1,506.00	£198.00	£1,994.00	£0.00	0	£405.00	5	£565.00	6
Woodward	Rt Hon Shaun	£152,822.00	£147,045.00	£5,777.00	£23,083.00	£0.00	£27,763.00	£84,040.00	£771.00	£841.00	£1,222.00	£0.00	£9,325.00	£367.00	£2,735.00	£1,237.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	0	£0.00	0	£1,438.00	12
Letwin	Rt Hon Oliver	£152,759.00	£145,715.00	£7,044.00	£20,558.00	£0.00	£15,517.00	£91,544.00	£820.00	£2,442.00	£1,180.00	£1,684.00	£11,970.00	£3,664.00	£793.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	£1,622.00	26	£965.00	26	£0.00	0
McCafferty	Chris	£152,744.00	£143,247.00	£9,497.00	£19,576.00	£0.00	£13,326.00	£98,491.00	£585.00	£1,505.00	£1,071.00	£0.00	£8,693.00	£6,580.00	£1,557.00	£0.00	£411.00	£0.00	£0.00	£0.00	£0.00	£583.00	4	£0.00	0	£366.00	3
Cooper	Rt Hon Yvette	£152,659.00	£137,200.00	£15,459.00	£12,219.00	£0.00	£16,588.00	£90,224.00	£1,759.00	£4,479.00	£1,120.00	£1,681.00	£9,130.00	£1,125.00	£10,033.00	£0.00	£130.00	£0.00	£0.00	£0.00	£0.00	£0.00	0	£2,095.00	56	£2,076.00	23
Beith	Rt Hon Sir Alan	£152,563.00	£138,119.00	£14,444.00	£17,686.00	£0.00	£13,491.00	£85,593.00	£645.00	£3,040.00	£1,307.00	£3,719.00	£12,638.00	£2,916.00	£7,976.00	£350.00	£111.00	£0.00	£0.00	£0.00	£0.00	£742.00	6	£0.00	0	£2,349.00	20
Robertson	John	£152,542.00	£133,667.00	£18,875.00	£20,809.00	£0.00	£19,715.00	£82,942.00	£605.00	£1,519.00	£1,272.00	£0.00	£6,805.00	£4,339.00	£1,481.00	£10,767.00	£575.00	£0.00	£0.00	£0.00	£0.00	£516.00	3	£0.00	0	£1,197.00	10
Smith	Rt Hon Andrew	£152,389.00	£148,986.00	£3,403.00	£13,306.00	£0.00	£24,257.00	£86,349.00	£1,811.00	£5,188.00	£1,482.00	£5,724.00	£10,869.00	£3,091.00	£206.00	£0.00	£61.00	£0.00	£0.00	£0.00	£0.00	£0.00	0	£0.00	0	£45.00	2
Havard	Mr Dai	£152,385.00	£146,884.00	£5,501.00	£21,120.00	£0.00	£18,209.00	£93,136.00	£742.00	£2,010.00	£1,170.00	£0.00	£10,497.00	£4,714.00	£0.00	£0.00	£0.00	£80.00	£0.00	£0.00	£0.00	£0.00	0	£0.00	0	£707.00	11
Dorries	Nadine	£152,318.00	£144,061.00	£8,257.00	£22,528.00	£0.00	£19,399.00	£87,098.00	£250.00	£665.00	£1,132.00	£0.00	£12,989.00	£3,727.00	£3,634.00	£0.00	£896.00	£0.00	£0.00	£0.00	£0.00	£0.00	0	£0.00	0	£0.00	0
Marsden	Mr Gordon	£152,300.00	£138,008.00	£14,292.00	£9,739.00	£0.00	£18,680.00	£93,164.00	£667.00	£2,413.00	£1,436.00	£1,909.00	£10,000.00	£0.00	£3,867.00	£9,367.00	£0.00	£0.00	£0.00	£0.00	£583.00	£0.00	0	£0.00	0	£475.00	6
Baker	Norman	£152,212.00	£147,043.00	£5,169.00	£21,862.00	£0.00	£24,993.00	£84,032.00	£1,324.00	£3,913.00	£1,073.00	£358.00	£9,488.00	£880.00	£3,347.00	£0.00	£0.00	£0.00	£238.00	£0.00	£461.00	£97.00	7	£73.00	7	£73.00	6
Gove	Michael	£152,071.00	£146,509.00	£5,562.00	£23,083.00	£0.00	£15,602.00	£89,446.00	£516.00	£1,016.00	£1,141.00	£0.00	£15,705.00	£3,560.00	£184.00	£0.00	£0.00	£0.00	£1,798.00	£0.00	£0.00	£0.00	0	£0.00	0	£20.00	4
Kennedy	Rt Hon Jane	£151,977.00	£140,924.00	£11,053.00	£23,083.00	£0.00	£20,253.00	£92,947.00	£537.00	£765.00	£1,371.00	£1,563.00	£405.00	£0.00	£10,374.00	£0.00	£350.00	£0.00	£0.00	£0.00	£0.00	£0.00	0	£0.00	0	£329.00	2
Baird	Vera QC	£151,975.00	£140,075.00	£11,900.00	£19,728.00	£0.00	£17,355.00	£94,488.00	£577.00	£1,560.00	£1,258.00	£0.00	£5,109.00	£2,420.00	£8,843.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	0	£0.00	0	£637.00	12
Ryan	Rt Hon Joan	£151,954.00	£151,233.00	£721.00	£21,658.00	£0.00	£18,719.00	£91,993.00	£1,612.00	£5,263.00	£1,048.00	£0.00	£10,940.00	£580.00	£141.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	0	£0.00	0	£0.00	0
Ruffley	Mr David	£151,941.00	£144,207.00	£7,734.00	£13,760.00	£0.00	£22,152.00	£94,781.00	£1,031.00	£2,046.00	£1,418.00	£0.00	£9,019.00	£5,050.00	£1,620.00	£0.00	£0.00	£0.00	£258.00	£0.00	£0.00	£0.00	0	£0.00	0	£806.00	24
Darling	Rt Hon Alistair	£151,904.00	£130,272.00	£21,632.00	£9,837.00	£0.00	£19,085.00	£90,933.00	£423.00	£1,394.00	£1,021.00	£0.00	£7,579.00	£248.00	£1,086.00	£10,033.00	£0.00	£0.00	£0.00	£0.00	£0.00	£5,283.00	30	£4,391.00	25	£591.00	4
Henderson	Mr Doug	£151,860.00	£134,160.00	£17,700.00	£23,083.00	£0.00	£9,710.00	£89,766.00	£623.00	£3,182.00	£639.00	£0.00	£7,157.00	£5,156.00	£3,951.00	£3,988.00	£1,033.00	£0.00	£0.00	£0.00	£0.00	£2,402.00	26	£580.00	9	£590.00	2
Stoate	Dr Howard	£151,660.00	£147,732.00	£3,928.00	£17,883.00	£0.00	£17,221.00	£93,371.00	£1,556.00	£5,273.00	£1,176.00	£0.00	£11,252.00	£2,253.00	£1,136.00	£0.00	£256.00	£0.00	£283.00	£0.00	£0.00	£0.00	0	£0.00	0	£0.00	0
Lancaster	Mr Mark	£151,619.00	£146,282.00	£5,337.00	£22,541.00	£0.00	£19,848.00	£88,283.00	£1,149.00	£3,471.00	£1,223.00	£0.00	£9,767.00	£3,358.00	£1,473.00	£0.00	£20.00	£0.00	£233.00	£0.00	£0.00	£31.00	1	£0.00	0	£222.00	21
Swire	Mr Hugo	£151,616.00	£140,234.00	£11,382.00	£22,802.00	£0.00	£23,572.00	£88,271.00	£517.00	£1,312.00	£1,076.00	£0.00	£2,684.00	£5,669.00	£2,495.00	£0.00	£204.00	£0.00	£398.00	£0.00	£0.00	£2,373.00	30	£243.00	6	£0.00	0
Reed	Mr Andy	£151,604.00	£144,350.00	£7,254.00	£22,568.00	£0.00	£20,933.00	£89,907.00	£303.00	£720.00	£1,176.00	£0.00	£8,743.00	£4,730.00	£1,122.00	£0.00	£0.00	£0.00	£0.00	£129.00	£908.00	£135.00	2	£0.00	0	£230.00	4
Harper	Mr Mark	£151,563.00	£142,576.00	£8,987.00	£22,978.00	£0.00	£21,262.00	£84,265.00	£772.00	£2,961.00	£976.00	£0.00	£9,362.00	£1,983.00	£4,345.00	£0.00	£355.00	£0.00	£666.00	£0.00	£0.00	£1,638.00	28	£0.00	0	£0.00	0
Paice	Mr James	£151,519.00	£143,475.00	£8,044.00	£23,083.00	£0.00	£14,574.00	£89,199.00	£437.00	£1,922.00	£1,116.00	£0.00	£13,144.00	£4,890.00	£545.00	£0.00	£182.00	£581.00	£1,555.00	£70.00	£0.00	£221.00	14	£0.00	0	£0.00	0
Butler	Ms Dawn	£151,515.00	£151,326.00	£189.00	£23,083.00	£0.00	£15,137.00	£88,783.00	£2,029.00	£4,887.00	£1,039.00	£4,972.00	£11,396.00	£0.00	£61.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	0	£0.00	0	£128.00	24
Shaw	Jonathan	£151,423.00	£148,833.00	£2,590.00	£21,254.00	£0.00	£14,827.00	£92,201.00	£1,516.00	£2,796.00	£1,484.00	£0.00	£14,755.00	£1,448.00	£1,028.00	£0.00	£0.00	£0.00	£16.00	£0.00	£0.00	£24.00	2	£0.00	0	£74.00	9
Seabeck	Alison	£151,396.00	£139,615.00	£11,781.00	£20,037.00	£0.00	£21,169.00	£89,712.00	£642.00	£1,224.00	£1,071.00	£0.00	£5,760.00	£280.00	£10,766.00	£0.00	£0.00	£0.00	£532.00	£0.00	£0.00	£0.00	0	£0.00	0	£203.00	4
Tipping	Paddy	£151,383.00	£139,548.00	£11,835.00	£14,227.00	£0.00	£21,339.00	£84,457.00	£984.00	£6,010.00	£1,929.00	£0.00	£10,602.00	£4,143.00	£6,729.00	£0.00	£0.00	£482.00	£0.00	£0.00	£0.00	£153.00	4	£0.00	0	£328.00	4
Keeley	Ms Barbara	£151,260.00	£133,804.00	£17,456.00	£23,077.00	£0.00	£28,884.00	£70,686.00	£652.00	£2,092.00	£1,012.00	£0.00	£7,401.00	£1,706.00	£10,376.00	£426.00	£779.00	£0.00	£0.00	£0.00	£0.00	£3,546.00	24	£0.00	0	£623.00	22
