														MP Travel: regular journeys between home/constituency/Westminster				MP Travel: Other				MP Spouse Travel		MP Family Travel		MP Employee Travel	
Member		TOTAL ALLOWANCES CLAIMED, INC TRAVEL	TOTAL BASIC ALLOWANCES, EXC TRAVEL	TOTAL TRAVEL CLAIMED	Cost of staying away from main home	London supplement	Office running costs	Staffing costs	Centrally purchased stationery	Stationery associated postage costs	Central IT provision	Staff cover and other costs	Comms allowance	Mileage	MP Rail	MP Air	MP Misc (see notes)	MP other Mileage	MP other Rail	MP other Air	MP other European	Spouse Total	No. of Journeys	Family Total	No. of Journeys	Employee Total	No. of Journeys
Begg	Miss Anne	£166,793.00	£150,132.00	£16,661.00	£22,116.00	£0.00	£23,170.00	£88,673.00	£1,013.00	£4,376.00	£1,132.00	£0.00	£9,652.00	£2,167.00	£579.00	£12,570.00	£1,345.00	£0.00	£0.00	£0.00	£0.00	£0.00	0	£0.00	0	£0.00	0
Johnson	Ms Diana R.	£166,509.00	£155,655.00	£10,854.00	£21,640.00	£0.00	£20,063.00	£88,052.00	£1,253.00	£5,478.00	£987.00	£8,310.00	£9,872.00	£1,258.00	£7,930.00	£0.00	£670.00	£0.00	£0.00	£0.00	£0.00	£0.00	0	£0.00	0	£996.00	12
Liddell-Grainger	Mr Ian	£166,109.00	£150,493.00	£15,616.00	£23,083.00	£0.00	£30,256.00	£86,469.00	£852.00	£2,134.00	£1,161.00	£0.00	£6,538.00	£7,045.00	£1,204.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	£2,152.00	20	£1,512.00	24	£3,703.00	23
Smith	Geraldine	£166,097.00	£148,464.00	£17,633.00	£23,035.00	£0.00	£22,889.00	£85,554.00	£410.00	£1,077.00	£1,100.00	£0.00	£14,399.00	£1,680.00	£12,583.00	£0.00	£450.00	£0.00	£12.00	£0.00	£1,143.00	£0.00	0	£0.00	0	£1,765.00	10
Robertson	Angus	£165,879.00	£138,259.00	£27,620.00	£23,082.00	£0.00	£21,696.00	£81,953.00	£511.00	£430.00	£1,372.00	£0.00	£9,215.00	£6,045.00	£3,474.00	£13,003.00	£726.00	£102.00	£0.00	£0.00	£0.00	£0.00	0	£0.00	0	£4,270.00	21
Williams	Hywel	£165,765.00	£146,426.00	£19,339.00	£23,078.00	£0.00	£20,875.00	£93,136.00	£852.00	£1,460.00	£1,018.00	£0.00	£6,007.00	£4,304.00	£7,860.00	£662.00	£203.00	£350.00	£0.00	£0.00	£2,597.00	£0.00	0	£254.00	4	£3,109.00	20
Lewis	Mr Ivan	£165,670.00	£153,246.00	£12,424.00	£23,083.00	£0.00	£21,889.00	£88,986.00	£2,204.00	£4,519.00	£1,512.00	£323.00	£10,730.00	£980.00	£10,518.00	£926.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	0	£0.00	0	£0.00	2
Curtis-Thomas	Mrs Claire	£165,621.00	£150,496.00	£15,125.00	£23,083.00	£0.00	£14,187.00	£97,656.00	£901.00	£3,678.00	£1,340.00	£0.00	£9,651.00	£2,273.00	£5,278.00	£1,729.00	£0.00	£0.00	£0.00	£0.00	£0.00	£3,790.00	30	£574.00	4	£1,481.00	13
Brown	Rt Hon Nicholas	£165,315.00	£149,640.00	£15,675.00	£23,068.00	£0.00	£11,652.00	£101,153.00	£314.00	£1,275.00	£1,346.00	£0.00	£10,832.00	£4,973.00	£8,638.00	£956.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	0	£0.00	0	£1,108.00	24
Lazarowicz	Mark	£165,171.00	£153,132.00	£12,039.00	£21,774.00	£0.00	£21,587.00	£85,364.00	£2,084.00	£4,789.00	£1,196.00	£5,289.00	£11,049.00	£82.00	£7,267.00	£3,496.00	£0.00	£0.00	£0.00	£0.00	£0.00	£456.00	7	£738.00	14	£0.00	0
Jones	Helen	£165,102.00	£152,138.00	£12,964.00	£23,014.00	£0.00	£25,756.00	£85,244.00	£2,196.00	£4,778.00	£1,353.00	£0.00	£9,797.00	£2,997.00	£9,967.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	0	£0.00	0	£0.00	0
Brown	Mr Russell	£165,025.00	£145,548.00	£19,477.00	£19,908.00	£0.00	£26,925.00	£83,018.00	£1,646.00	£2,944.00	£1,187.00	£0.00	£9,920.00	£5,006.00	£12,138.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	£2,067.00	10	£0.00	0	£266.00	10
Blears	Rt Hon Hazel	£164,791.00	£148,235.00	£16,556.00	£23,083.00	£0.00	£18,636.00	£92,407.00	£912.00	£3,382.00	£1,297.00	£0.00	£8,518.00	£1,020.00	£12,384.00	£170.00	£29.00	£0.00	£0.00	£0.00	£0.00	£2,953.00	6	£0.00	0	£0.00	0
Chapman	Ben	£164,699.00	£149,186.00	£15,513.00	£23,083.00	£0.00	£23,481.00	£81,197.00	£1,564.00	£5,408.00	£1,305.00	£0.00	£13,148.00	£3,100.00	£6,369.00	£0.00	£32.00	£24.00	£278.00	£0.00	£0.00	£4,620.00	25	£0.00	0	£1,090.00	14
Levitt	Tom	£164,620.00	£150,333.00	£14,287.00	£22,450.00	£0.00	£15,304.00	£86,154.00	£2,025.00	£4,594.00	£930.00	£1,561.00	£17,315.00	£3,556.00	£7,351.00	£0.00	£6.00	£0.00	£77.00	£0.00	£0.00	£2,955.00	22	£0.00	0	£342.00	4
Mahmood	Mr Khalid	£164,614.00	£147,152.00	£17,462.00	£17,900.00	£0.00	£15,742.00	£101,894.00	£204.00	£895.00	£1,581.00	£0.00	£8,936.00	£5,043.00	£10,600.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	£215.00	2	£0.00	0	£1,604.00	21
Stewart	Ian	£164,590.00	£149,674.00	£14,916.00	£21,600.00	£0.00	£18,327.00	£92,263.00	£810.00	£1,331.00	£1,346.00	£13,867.00	£130.00	£992.00	£10,723.00	£101.00	£197.00	£0.00	£0.00	£0.00	£0.00	£2,560.00	16	£0.00	0	£343.00	2
Atkins	Charlotte	£164,458.00	£153,189.00	£11,269.00	£23,083.00	£0.00	£21,324.00	£90,504.00	£1,497.00	£5,501.00	£1,284.00	£0.00	£9,996.00	£6,844.00	£969.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	£1,920.00	30	£0.00	0	£1,536.00	24
Öpik	Lembit	£164,406.00	£154,898.00	£9,508.00	£23,083.00	£0.00	£26,955.00	£84,471.00	£691.00	£1,718.00	£1,346.00	£7,111.00	£9,523.00	£6,378.00	£1,256.00	£391.00	£0.00	£37.00	£223.00	£0.00	£1,223.00	£0.00	0	£0.00	0	£0.00	0
Paterson	Mr Owen	£164,297.00	£146,757.00	£17,540.00	£22,637.00	£0.00	£17,776.00	£87,891.00	£778.00	£3,169.00	£1,219.00	£0.00	£13,287.00	£3,962.00	£776.00	£118.00	£871.00	£1,764.00	£471.00	£8,782.00	£0.00	£635.00	20	£0.00	0	£161.00	4
Burden	Richard	£164,252.00	£150,783.00	£13,469.00	£21,061.00	£0.00	£12,339.00	£96,412.00	£664.00	£2,389.00	£1,450.00	£3,523.00	£12,945.00	£2,496.00	£8,631.00	£0.00	£28.00	£0.00	£40.00	£0.00	£0.00	£1,738.00	27	£0.00	0	£536.00	12
Rowen	Paul	£164,139.00	£151,916.00	£12,223.00	£23,083.00	£0.00	£22,994.00	£88,468.00	£1,328.00	£4,591.00	£1,128.00	£0.00	£10,324.00	£4,087.00	£6,817.00	£685.00	£540.00	£0.00	£0.00	£0.00	£0.00	£0.00	0	£0.00	0	£94.00	2
Sanders	Mr Adrian	£164,063.00	£150,593.00	£13,470.00	£19,924.00	£0.00	£23,656.00	£88,170.00	£1,210.00	£4,728.00	£1,323.00	£2,510.00	£9,072.00	£3,906.00	£6,905.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	£543.00	6	£0.00	0	£2,116.00	20
Hughes	Rt Hon Beverley	£164,055.00	£150,717.00	£13,338.00	£23,083.00	£0.00	£21,546.00	£90,229.00	£1,745.00	£4,600.00	£1,345.00	£0.00	£8,169.00	£2,684.00	£9,632.00	£0.00	£75.00	£0.00	£0.00	£0.00	£0.00	£576.00	4	£0.00	0	£371.00	5
Hodgson	Mrs Sharon	£164,038.00	£145,218.00	£18,820.00	£22,942.00	£0.00	£17,663.00	£94,456.00	£893.00	£1,349.00	£1,153.00	£2,968.00	£3,794.00	£2,240.00	£10,549.00	£1,264.00	£242.00	£0.00	£6.00	£0.00	£0.00	£2,880.00	25	£546.00	6	£1,093.00	16
